algorithm,n,matrix_mib,repeats,avg_ms,checksum
naive_column_major,4096,128.00,100,146.960730,120711168368.188
naive_column_major,4096,128.00,100,161.674610,120711168368.188
naive_column_major,4096,128.00,100,333.149110,120711168368.188
naive_column_major,4096,128.00,100,145.276720,120711168368.188
naive_column_major,4096,128.00,100,232.330180,120711168368.188
naive_column_major,4096,128.00,100,220.673600,120711168368.188
cache_optimized_row_major,4096,128.00,100,9.578750,120711168368.188
cache_optimized_row_major,4096,128.00,100,9.553090,120711168368.188
naive_column_major,4096,128.00,1,209.092000,120711168368.188
cache_optimized_row_major,4096,128.00,1,10.862000,120711168368.188
